time	signal1	signal2	signal3	subtr1	subtr2	subtr3
0.0	0.05103	-0.09663	0.07351	0.22883	0.27073	0.16431
0.011	0.05111	-0.09669	0.0759	0.22903	0.26945	0.16601
0.022	0.05125	-0.09641	0.1023	0.23162	0.25675	0.18531999999999998
0.033	0.047	-0.08936	0.1281	0.23595	0.25294	0.20682999999999999
0.044	0.04593	-0.0804	0.1501	0.24045	0.25619000000000003	0.22875
0.055	0.04299	-0.0759	0.15422	0.24408	0.26492000000000004	0.24386
0.066	0.04112	-0.0785	0.16521	0.24614999999999998	0.25448	0.25454
0.077	0.04028	-0.05736	0.17766	0.24492	0.2808	0.25812
0.088	0.03775	-0.06025	0.17749	0.24362	0.29437	0.2541
0.099	0.039	-0.05253	0.17607	0.24258000000000002	0.29496	0.24995
0.11	0.03892	-0.05861	0.16231	0.2398	0.27871	0.23048000000000002
0.121	0.03555	-0.06831	0.14578	0.23379	0.27890000000000004	0.2246
0.132	0.03612	-0.07796	0.15123	0.23476999999999998	0.27237	0.24113
0.143	0.03638	-0.07207	0.15651	0.23851999999999998	0.27671999999999997	0.24484
0.154	0.0394	-0.07038	0.15603	0.24356999999999998	0.28425	0.23812
0.165	0.0387	-0.06277	0.14757	0.24486999999999998	0.28750000000000003	0.22108
0.176	0.03577	-0.05062	0.13942	0.2409	0.29505	0.21082
0.187	0.03487	-0.04336	0.13262	0.23776999999999998	0.30949	0.20621
0.198	0.03751	-0.0613	0.13417	0.24052	0.29451	0.21205000000000002
0.209	0.04051	-0.08337	0.14677	0.24553999999999998	0.27426	0.22707
0.22	0.03873	-0.08536	0.14212	0.24825999999999998	0.27157000000000003	0.22936
0.231	0.03668	-0.0735	0.1407	0.24581999999999998	0.28518	0.22946
0.242	0.03804	-0.07837	0.14656	0.24783	0.27894	0.24070999999999998
0.253	0.03903	-0.07655	0.15162	0.24808000000000002	0.29344	0.24363
0.264	0.03652	-0.08479	0.15521	0.24598	0.30823	0.24868999999999997
0.275	0.03339	-0.09306	0.15601	0.24377000000000001	0.29464999999999997	0.26389
0.286	0.02992	-0.08686	0.16495	0.24134	0.28448	0.27112
0.297	0.02636	-0.08333	0.17308	0.24089	0.26669	0.2785
0.308	0.02297	-0.08651	0.16814	0.24136	0.25988999999999995	0.28493
0.319	0.02163	-0.0678	0.16609	0.24431	0.27978000000000003	0.28373
0.33	0.02137	-0.04405	0.16439	0.24601	0.29612	0.27542
0.341	0.01986	-0.02614	0.16418	0.246	0.31961	0.26866999999999996
0.352	0.01994	-0.02462	0.16415	0.24747999999999998	0.3269	0.27085
0.363	0.02183	-0.03504	0.16602	0.24791	0.30793	0.27473000000000003
0.374	0.02163	-0.04545	0.17252	0.24582	0.30566	0.27505
0.385	0.01962	-0.04983	0.16136	0.24626	0.31486000000000003	0.26067
0.396	0.01707	-0.0493	0.14871	0.24848	0.31179999999999997	0.24589
0.407	0.01468	-0.0641	0.15469	0.24844	0.29097	0.25051999999999996
0.418	0.01263	-0.07336	0.15846	0.24644	0.27897	0.26166999999999996
0.429	0.01088	-0.08688	0.15634	0.24519	0.2736	0.26682
0.44	0.01148	-0.09603	0.14796	0.24841	0.2733	0.25446
0.451	0.01083	-0.07856	0.13543	0.24863000000000002	0.28667	0.23847000000000002
0.462	0.0107	-0.06841	0.12947	0.2478	0.29717000000000005	0.24068
0.473	0.01278	-0.08166	0.12852	0.24881999999999999	0.28586	0.24337999999999999
0.484	0.01402	-0.08337	0.13003	0.2488	0.2706	0.23486
0.495	0.01546	-0.08996	0.13327	0.25173	0.26436000000000004	0.2454
0.506	0.01712	-0.07755	0.1381	0.25392000000000003	0.28069	0.25816
0.517	0.01849	-0.07023	0.13391	0.25409	0.29109999999999997	0.24941000000000002
0.528	0.01798	-0.08131	0.13039	0.24975	0.2634	0.24061
0.539	0.01714	-0.08238	0.13579	0.24653	0.25237	0.24463000000000001
0.55	0.01713	-0.0727	0.15219	0.24764	0.26199	0.25781
0.561	0.01682	-0.06049	0.14708	0.24708	0.27684000000000003	0.24223
0.572	0.01874	-0.06221	0.14419	0.2509	0.28955000000000003	0.2277
