time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
0.000	0.04691	0.10229	0.01236	0.22471	0.46965	0.10316	0.00149	0.02175	0.08196
0.011	0.04649	0.10185	0.01567	0.22441	0.46799	0.10578	0.00149	0.02174	0.08206
0.022	0.04207	0.10047	0.05237	0.22244	0.45363	0.13539	0.00149	0.02159	0.08315
0.033	0.03861	0.11946	0.08658	0.22756	0.46176	0.16531	0.00150	0.02167	0.08426
0.044	0.03261	0.12773	0.09821	0.22713	0.46432	0.17686	0.00150	0.02170	0.08469
0.055	0.02956	0.12300	0.10656	0.23065	0.46382	0.19620	0.00151	0.02169	0.08540
0.066	0.02748	0.08806	0.10868	0.23251	0.42104	0.19801	0.00151	0.02126	0.08547
0.077	0.02376	0.07530	0.09400	0.22840	0.41346	0.17446	0.00150	0.02118	0.08460
0.088	0.02256	0.09247	0.10407	0.22843	0.44709	0.18068	0.00150	0.02152	0.08483
0.099	0.01999	0.08547	0.11331	0.22357	0.43296	0.18719	0.00149	0.02138	0.08507
0.110	0.02182	0.08416	0.11713	0.22270	0.42148	0.18530	0.00149	0.02127	0.08500
0.121	0.02387	0.10141	0.09878	0.22211	0.44862	0.17760	0.00149	0.02154	0.08471
0.132	0.02552	0.09737	0.09406	0.22417	0.44770	0.18396	0.00149	0.02153	0.08495
0.143	0.02909	0.08726	0.08931	0.23123	0.43605	0.17764	0.00151	0.02141	0.08471
0.154	0.02830	0.07642	0.09104	0.23247	0.43105	0.17313	0.00151	0.02136	0.08455
0.165	0.02597	0.07511	0.08796	0.23214	0.42538	0.16147	0.00151	0.02130	0.08412
0.176	0.02823	0.07589	0.08072	0.23336	0.42156	0.15212	0.00151	0.02127	0.08377
0.187	0.02897	0.05804	0.07215	0.23187	0.41089	0.14574	0.00151	0.02116	0.08354
0.198	0.02537	0.04541	0.06350	0.22838	0.40122	0.14138	0.00150	0.02106	0.08338
0.209	0.02588	0.04857	0.06807	0.23091	0.40620	0.14837	0.00151	0.02111	0.08363
0.220	0.02790	0.04498	0.09186	0.23743	0.40191	0.17910	0.00152	0.02107	0.08477
0.231	0.02882	0.03349	0.10506	0.23796	0.39217	0.19382	0.00152	0.02097	0.08531
0.242	0.02747	0.03517	0.10562	0.23726	0.39248	0.19977	0.00152	0.02097	0.08553
0.253	0.02255	0.03458	0.09643	0.23160	0.40457	0.18844	0.00151	0.02109	0.08511
0.264	0.02039	0.03465	0.09582	0.22985	0.42767	0.18930	0.00150	0.02133	0.08514
0.275	0.01900	0.03348	0.10065	0.22938	0.42119	0.20853	0.00150	0.02126	0.08585
0.286	0.01697	0.04461	0.09063	0.22839	0.41595	0.19680	0.00150	0.02121	0.08542
0.297	0.01571	0.05457	0.08276	0.23024	0.40459	0.18818	0.00150	0.02109	0.08510
0.308	0.01474	0.06716	0.07369	0.23313	0.41356	0.19048	0.00151	0.02119	0.08519
0.319	0.01243	0.05988	0.07341	0.23511	0.40746	0.19105	0.00152	0.02112	0.08521
0.330	0.00945	0.06562	0.08357	0.23409	0.40579	0.19460	0.00151	0.02111	0.08534
0.341	0.00640	0.08302	0.08447	0.23254	0.42877	0.18896	0.00151	0.02134	0.08513
0.352	0.00558	0.07935	0.07078	0.23312	0.43087	0.17748	0.00151	0.02136	0.08471
0.363	0.00574	0.06828	0.06076	0.23182	0.41125	0.16947	0.00151	0.02116	0.08441
0.374	0.00591	0.05770	0.05692	0.23010	0.40881	0.15945	0.00150	0.02114	0.08404
0.385	0.00756	0.05611	0.05389	0.23420	0.42080	0.15320	0.00151	0.02126	0.08381
0.396	0.00856	0.05159	0.05571	0.23997	0.41269	0.15289	0.00153	0.02118	0.08380
0.407	0.00792	0.04308	0.05674	0.24168	0.39815	0.15257	0.00153	0.02103	0.08379
0.418	0.00720	0.05386	0.06517	0.24101	0.40619	0.16838	0.00153	0.02111	0.08437
0.429	0.00621	0.06343	0.06777	0.24052	0.42391	0.17825	0.00153	0.02129	0.08474
0.440	0.00379	0.06577	0.06501	0.24072	0.43510	0.17151	0.00153	0.02140	0.08449
0.451	0.00365	0.06613	0.07665	0.24145	0.43136	0.17969	0.00153	0.02137	0.08479
0.462	0.00512	0.05058	0.07365	0.24222	0.41616	0.18486	0.00153	0.02121	0.08498
0.473	0.00619	0.06022	0.07140	0.24223	0.42774	0.18626	0.00153	0.02133	0.08503
