time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	normalized1	normalized2	normalized3
0.0	0.03616	0.10229	0.00653	0.21396	0.46965	0.09733	0.0018344526306089133	0.021753232878438018	0.0810294859646316
0.011	0.03645	0.10185	0.00873	0.21437	0.46799	0.09884	0.0018356829408808604	0.021736422659931507	0.08108755645528494
0.022	0.03935	0.10047	0.03092	0.21972	0.45363	0.11394	0.001851736989551395	0.02159100414321253	0.08166826136181837
0.033	0.03943	0.11946	0.04295	0.22838	0.46176	0.12168	0.0018777235431003344	0.021673333707343815	0.08196592069801498
0.044	0.03426	0.12773	0.06222	0.22877999999999998	0.46432	0.14087	0.0018789238458046733	0.021699257899739397	0.08270391587393396
0.055	0.0323	0.123	0.07066	0.23339	0.46382	0.1603	0.0018927573344721803	0.021694194580912138	0.08345114079671173
0.066	0.03297	0.08806	0.08477	0.238	0.42103999999999997	0.1741	0.0019065908231396874	0.021260977022051562	0.0839818512410933
0.077	0.03138	0.0753	0.09125	0.23601999999999998	0.41346000000000005	0.17171	0.0019006493247532095	0.021184217108630266	0.08388993834529097
0.088	0.02995	0.09247	0.08977	0.23582	0.44709	0.16638	0.00190004917340104	0.021524775932951937	0.08368496105046826
0.099	0.03173	0.08547	0.0887	0.23531000000000002	0.43296	0.16258	0.0018985187874530076	0.0213816865428935	0.08353882339187044
0.11	0.03483	0.08416	0.08323	0.23571	0.42148	0.15139999999999998	0.0018997190901573467	0.021265432742619553	0.08310887101736421
0.121	0.03436	0.10141	0.08	0.2326	0.44862	0.15882000000000002	0.001890386736631111	0.02154026968856336	0.08339422402441575
0.132	0.03475	0.09737	0.07875	0.2334	0.4477	0.16865	0.001892787342039789	0.0215309531819212	0.08377225907284115
0.143	0.03537	0.08726	0.05788	0.23751	0.43605	0.14621	0.001905120452326872	0.02141297785324598	0.08290927774154247
0.154	0.03477	0.07642	0.05457	0.23893999999999999	0.43105	0.13666	0.0019094115344948839	0.021362344664973356	0.08254201073111901
0.165	0.03494	0.07511	0.05451	0.24111	0.42538000000000004	0.12802000000000002	0.0019159231766659231	0.021304926629472202	0.08220973984420188
0.176	0.03438	0.07589	0.06222	0.23951	0.42156	0.13362000000000002	0.0019111219658485671	0.021266242873631915	0.08242510060424076
0.187	0.03338	0.05804	0.06383	0.23628	0.41089	0.13742	0.00190142952151103	0.021158191649858136	0.08257123826283858
0.198	0.03202	0.04541	0.06001	0.23503	0.40122	0.13789	0.0018976785755599702	0.02106026706373888	0.08258931318377041
0.209	0.03258	0.04857	0.05624	0.23761	0.4062	0.13654	0.0019054205280029568	0.021110697719258414	0.0825373958576896
0.22	0.0334	0.04498	0.05706	0.24292999999999998	0.40191000000000004	0.14429999999999998	0.0019213845539706657	0.021067254443720502	0.08283582433945777
0.231	0.03183	0.03349	0.06641	0.24097	0.39217	0.15517	0.0019155030707194045	0.02096862099296543	0.08325385495760469
0.242	0.03192	0.03517	0.07922	0.24171	0.39248	0.17337	0.0019177236307224316	0.020971760250638332	0.08395377742773107
0.253	0.03293	0.03458	0.07831	0.24198000000000003	0.40457	0.17032	0.0019185338350478608	0.021094191299881538	0.08383648272806703
0.264	0.03234	0.03465	0.0737	0.24180000000000001	0.42767	0.16718	0.001917993698830908	0.021328116629701063	0.08371572687333095
0.275	0.03184	0.03348	0.07033	0.24222000000000002	0.42119	0.17821	0.001919254016670464	0.021262496017699743	0.08413991065605039
0.286	0.02948	0.04461	0.06806	0.2409	0.41595	0.17423	0.0019152930177461453	0.021209432436390032	0.08398685068730848
0.297	0.02529	0.05457	0.06968	0.23982	0.40459	0.1751	0.00191205220044443	0.021094393832634627	0.08402030851967165
0.308	0.02582	0.06716	0.06612	0.24421	0.41356	0.18291000000000002	0.0019252255226245507	0.021185229772395717	0.08432065986536876
0.319	0.02518	0.05988	0.06598	0.24786	0.40746	0.18362	0.0019361782848016438	0.021123457282703113	0.08434796453315939
0.33	0.02188	0.06562	0.06586	0.24652000000000002	0.40579	0.17689	0.0019321572707421085	0.02110654579782006	0.08408914704832696
0.341	0.01942	0.08302	0.06405	0.24556	0.42877	0.16854	0.0019292765442516947	0.021339255931121043	0.08376802877219754
0.352	0.01871	0.07935	0.06174	0.24625	0.43087	0.16844	0.0019313470664166794	0.021360521870195544	0.08376418304433969
0.363	0.01769	0.06828	0.05972	0.24377000000000001	0.41125	0.16843	0.0019239051896497777	0.021161837239413762	0.08376379847155391
0.374	0.01638	0.0577	0.06079	0.24057	0.40881	0.16332	0.0019143027680150655	0.021137128243536724	0.08356728177801843
0.385	0.01423	0.05611	0.06383	0.24087	0.4208	0.16314	0.0019152029950433198	0.021258546629014476	0.08356035946787431
0.396	0.01108	0.05159	0.066	0.24249	0.41269	0.16318	0.0019200642209958928	0.02117641959763628	0.08356189775901746
0.407	0.01206	0.04308	0.06535	0.24581999999999998	0.39815	0.16118	0.001930056741009515	0.02102917828613949	0.08348498320186071
0.418	0.01548	0.05386	0.0691	0.24928999999999998	0.40619	0.17231	0.001940469366969656	0.02111059645288187	0.08391301271243799
0.429	0.01683	0.06343	0.07252	0.25114	0.42391	0.183	0.0019460207669772236	0.02129004047212005	0.08432412102044079
0.44	0.01749	0.06577	0.06693	0.25442	0.4351	0.17343	0.001955863249152804	0.021403357547474182	0.08395608486444578
0.451	0.0199	0.06613	0.06527	0.25770000000000004	0.43135999999999997	0.16831000000000002	0.0019657057313283836	0.021365483922646256	0.08375918359812451
0.462	0.02103	0.05058	0.06721	0.25813	0.41616000000000003	0.17842000000000002	0.001966996056735548	0.02121155903029748	0.08414798668455185
0.473	0.01904	0.06022	0.05689	0.25508	0.42774	0.17175	0.001957843748614963	0.02132882549433688	0.0838914766364341
0.484	0.01992	0.06804	0.05114	0.2547	0.42201	0.15597	0.001956703461045841	0.021270799860576454	0.08328462078046739
0.495	0.02351	0.0599	0.05589	0.25978	0.41422000000000003	0.16802	0.0019719473053909464	0.021191913353247705	0.08374803098733677
0.506	0.02733	0.05427	0.05571	0.26413000000000003	0.41251	0.17577	0.0019850005973006332	0.021174596802858468	0.08404607489631917
0.517	0.02788	0.05261	0.05546	0.26348	0.41394	0.17096	0.001983050105406082	0.02118907789470444	0.08386109538635719
0.528	0.02918	0.05966	0.05702	0.26095	0.40437	0.16724	0.001975458190801138	0.021092165972350634	0.08371803431004565
0.539	0.02714	0.05524	0.04986	0.25653000000000004	0.38999	0.1587	0.0019621948459181923	0.020946544922878566	0.08338960915098635
0.55	0.02373	0.04732	0.04664	0.25424	0.38200999999999996	0.15226	0.0019553231129358513	0.020865734354395458	0.08314194427694162
0.561	0.02308	0.04065	0.05325	0.25334	0.37798000000000004	0.1484	0.0019526224318510885	0.02082492400464772	0.0829934991816291
0.572	0.0235	0.05911	0.06248	0.25566	0.41087	0.14599	0.0019595841875362546	0.021157989117105046	0.08290081714025521
0.583	0.02418	0.06593	0.06522	0.25727	0.41065	0.1372	0.001964415405921219	0.02115576125682105	0.08256277766155133
0.594	0.02231	0.0698	0.06272	0.25487	0.40508999999999995	0.13187	0.001957213589695185	0.02109945715146189	0.0823578003667286
0.605	0.02187	0.05706	0.05928	0.25390999999999997	0.39609	0.13137	0.0019543328632047716	0.021008317412571167	0.08233857172743941
0.616	0.02306	0.05674	0.04899	0.25553000000000003	0.40079000000000004	0.13458	0.0019591940891573447	0.021055912609547436	0.082462019591676
0.627	0.02436	0.04833	0.056	0.25542	0.38538	0.15144	0.0019588640059136513	0.020899861123291206	0.08311040930850735
0.638	0.0269	0.05862	0.05779	0.25621	0.39604	0.15766	0.0019612346037547208	0.021007811080688443	0.08334961358126483
0.649	0.02533	0.07097	0.06527	0.25679	0.41296	0.15937	0.0019629750426760125	0.021179153789803	0.08341537552763385
0.66	0.02479	0.07686	0.06281	0.25845999999999997	0.42108999999999996	0.16301	0.0019679863064666274	0.02126148335393429	0.08355536002165913
0.671	0.02263	0.07351	0.05917	0.25637	0.42376	0.16732	0.0019617147248364563	0.021288521476471874	0.08372111089233192
0.682	0.02216	0.06073	0.07039	0.25796	0.4052	0.18231	0.001966485928086204	0.021100571081603885	0.08429758549822174
0.693	0.02379	0.07414	0.07849	0.25984	0.41365999999999997	0.19558999999999999	0.0019721273507965977	0.02118624243616117	0.08480829815774252
0.704	0.02081	0.0812	0.06585	0.25384	0.43013	0.19846999999999998	0.0019541228102315125	0.021353028158331195	0.08491905512004823
0.715	0.02231	0.08744	0.05649	0.25842	0.43302	0.17962	0.001967866276196194	0.02138229414115277	0.08419413541884589
0.726	0.02299	0.08723	0.05964	0.25895	0.44545	0.18067	0.001969456677279443	0.021508168247198516	0.0842345155613532
0.737	0.02474	0.08053	0.05729	0.25894	0.46053	0.18513000000000002	0.0019694266697118344	0.02166087794302875	0.08440603502381273
0.748	0.02387	0.05699	0.03885	0.25377	0.43401999999999996	0.17518	0.001953912757258253	0.021392420778807295	0.08402338510195793
0.759	0.02612	0.05499	0.02518	0.25462999999999997	0.41905	0.14752	0.0019564934080725815	0.021240825013119056	0.08295965677648014
0.77	0.0274	0.05119	0.02674	0.25562999999999997	0.40635	0.14626	0.0019594941648334295	0.02111221671490659	0.08291120060547137
0.781	0.02699	0.05174	0.04054	0.25442	0.40334000000000003	0.16315	0.001955863249152804	0.021081735535566474	0.08356074404066009
0.792	0.02625	0.05906	0.05201	0.25337	0.41853	0.17801	0.0019527124545539137	0.021235559161538707	0.08413221920033473
0.803	0.02525	0.06353	0.05231	0.25419	0.42049000000000003	0.17851999999999998	0.0019551730750978088	0.021255407371341576	0.08415183241240969
0.814	0.02694	0.07115	0.05375	0.25518	0.41639	0.16097	0.0019581438242910476	0.02121388815695802	0.08347690717335925
0.825	0.02725	0.07964	0.06466	0.25209000000000004	0.42173	0.16247	0.001948871485900029	0.02126796440203319	0.08353459309122681
0.836	0.02646	0.08679	0.06636	0.24851	0.42547999999999997	0.16902	0.0019381287766961949	0.021305939293237652	0.08378648826591516
0.847	0.02777	0.09608	0.06191	0.25149	0.43994	0.17091	0.0019470710318435205	0.021452370473722084	0.08385917252242828
0.858	0.02895	0.08707	0.05546	0.25406	0.42934999999999995	0.1774	0.0019547829767188984	0.021345129380960663	0.08410876026040191
0.869	0.02971	0.08735	0.06167	0.25528	0.43744	0.19090000000000001	0.0019584438999671323	0.02142705387958577	0.08462793352120995
0.88	0.028	0.07456	0.06102	0.25475000000000003	0.43329	0.19452	0.0019568534988838836	0.021385028333319494	0.08476714886966365
0.891	0.02651	0.06842	0.05251	0.25393	0.41955	0.18718	0.0019543928783399885	0.021245888331946322	0.08448487244489841
0.902	0.02959	0.0596	0.0598	0.25168	0.41265999999999997	0.18899	0.0019476411756280815	0.02117611579850664	0.08455448011912525
0.913	0.03177	0.05901	0.06646	0.25236000000000003	0.41502	0.18211	0.001949681690225458	0.021200014663371326	0.08428989404250604
0.924	0.03136	0.05966	0.0697	0.25249	0.41603	0.17531	0.001950071788604368	0.021210242567402393	0.08402838454817312
0.935	0.03184	0.06391	0.06556	0.25505	0.42715000000000003	0.17945	0.0019577537259121377	0.02132285077812071	0.08418759768148758
0.946	0.02962	0.06544	0.07027	0.25384	0.40603	0.18462	0.0019541228102315125	0.021108976190857144	0.08438642181173776
0.957	0.02809	0.05664	0.07498	0.25144	0.39213000000000003	0.20174000000000003	0.0019469209940054782	0.020968215927459247	0.08504481042099951
0.968	0.03159	0.06212	0.0718	0.25376	0.40223000000000003	0.20198	0.0019538827496906443	0.02107049496776995	0.08505404016785831
0.979	0.03429	0.06497	0.06722	0.25602	0.41369999999999996	0.19253	0.0019606644599701596	0.02118664750166735	0.0846906188852927
0.99	0.03445	0.06535	0.06181	0.25569	0.42532000000000003	0.18919	0.00195967421023908	0.02130431903121293	0.08456217157484093
1.001	0.03414	0.07847	0.0551	0.25527	0.45214	0.18321	0.001958413892399524	0.021575915453107285	0.08433219704894225
1.012	0.03505	0.08273	0.05372	0.25638	0.44226	0.18023	0.001961744732404065	0.021475864273080583	0.08421759435877871
1.023	0.03754	0.05802	0.05408	0.25805	0.38907	0.17942000000000002	0.0019667559961946803	0.020937228416236405	0.08418644396313023
1.034	0.03831	0.04063	0.05459	0.25877	0.37284	0.18364	0.00196891654106249	0.020772873087103464	0.08434873367873097
1.045	0.03563	0.03812	0.05075	0.25435	0.39003	0.18113	0.0019556531961795447	0.020946949988384745	0.08425220590949925
1.056	0.03371	0.04897	0.04127	0.24942999999999999	0.40738	0.16764	0.0019408894729161746	0.02112264715169075	0.083733417221477
1.067	0.03512	0.05658	0.04322	0.24925999999999998	0.40948	0.16545	0.0019403793442668306	0.021143913090765253	0.08364919578139035
1.078	0.03748	0.0501	0.04856	0.25202	0.3997	0.17009	0.0019486614329267697	0.021044874574504005	0.08382763755399401
1.089	0.0379	0.04758	0.04663	0.25375	0.39639	0.16447	0.0019538527421230356	0.021011355403867525	0.08361150764838356
1.1	0.03664	0.05228	0.05273	0.25214	0.40345	0.16565000000000002	0.0019490215237380714	0.02108284946570847	0.08365688723710603
1.111	0.03662	0.05995	0.05509	0.25032	0.42564	0.16774	0.0019435601464333288	0.021307559555262378	0.08373726294933484
1.122	0.03752	0.04628	0.05358	0.25019	0.42336999999999997	0.16222999999999999	0.0019431700480544189	0.021284572087786603	0.083525363344368
1.133	0.03959	0.03864	0.05315	0.25393	0.40443	0.16472	0.0019543928783399885	0.021092773570609905	0.08362112196802815
1.144	0.04263	0.03755	0.03406	0.25758000000000003	0.39453000000000005	0.15575	0.001965345640517082	0.020992519857830107	0.08327616017918013
1.155	0.04333	0.03414	0.03141	0.25731	0.40071	0.15362	0.001964535436191653	0.021055102478535072	0.08319424617580821
1.166	0.044	0.04367	0.04856	0.25824	0.41858	0.1639	0.0019673261399792414	0.02123606549342143	0.08358958699959387
1.177	0.04422	0.05178	0.04769	0.25797	0.43067	0.15862	0.0019665159356538125	0.02135849654266464	0.08338653256870007
1.188	0.04561	0.05776	0.0377	0.25973999999999997	0.43448	0.15022	0.0019718272751205125	0.021397079032128376	0.08306349142864174
